Thành phố,Bác sĩ,Y Tá
Hà Nội,11133,6725
Vĩnh Phúc,1663,1523
Bắc Ninh,1765,803
Quảng Ninh,1987,1877
Hải Dương,1839,2318
Hải Phòng,2735,3426
Hưng Yên,1172,1309
Thái Bình,2502,1221
Hà Nam,683,775
Nam Định,795,1617
Ninh Bình,1245,1194
Hà Giang,928,976
Cao Bằng,822,753
Bắc Kạn,560,458
Tuyên Quang,675,375
Lào Cai,937,1045
Yên Bái,876,775
Thái Nguyên,2181,2216
Lạng Sơn,887,894
Bắc Giang,1999,1487
Phú Thọ,2123,1264
Điện Biên,762,621
Lai Châu,519,722
Sơn La,1077,1052
Hòa Bình,790,1226
Thanh Hóa,4242,2867
Nghệ An,3391,3161
Hà Tĩnh,1450,1119
Quảng Bình,761,697
Quảng Trị,690,625
Thừa Thiên - Huế,732,498
Đà Nẵng,1419,2012
Quảng Nam,1680,1320
Quảng Ngãi,951,1130
Bình Định,1065,1708
Phú Yên,639,667
Khánh Hòa,1311,1276
Ninh Thuận,608,591
Bình Thuận,1018,1236
Tây Nguyên,4786,5223
Kon Tum,613,743
Gia Lai,1282,1209
Đắk Lắk,1268,1579
Đắk Nông,551,547
Lâm Đồng,1072,1145
Bình Phước,860,726
Tây Ninh,923,773
Bình Dương,1930,830
Đồng Nai,2700,2481
Bà Rịa - Vũng Tàu,1069,1017
TP. Hồ Chí Minh,18473,11605
Long An,1040,1412
Tiền Giang,1235,1298
Bến Tre,1242,1254
Trà Vinh,834,797
Vĩnh Long,739,785
Đồng Tháp,1491,1575
An Giang,1642,1564
Kiên Giang,1709,1693
Cần Thơ,2110,2028
Hậu Giang,652,650
Sóc Trăng,1002,970
Bạc Liêu,1031,743
Cà Mau,1455,832
